=========================================================
 [ 종합 RMSE 비교 요약: 거리별(m) ]
=========================================================
Dist(m)    | Prop             | MUSIC            | LSTM             | MLP              | 1D-CNN
---------------------------------------------------------------------------------------------------------
       0 | 1.4594           | 10.7151          | 16.1412          | 15.3941          | 28.5901
      10 | 1.3370           | 10.8196          | 16.2010          | 14.8462          | 28.4540
      20 | 1.2575           | 11.1687          | 15.1169          | 14.4382          | 27.7659
      30 | 1.1337           | 11.3463          | 13.7824          | 13.8887          | 26.8325
      40 | 1.0111           | 12.0584          | 12.4758          | 13.3901          | 25.7935
      50 | 0.9029           | 12.8474          | 11.2306          | 12.8893          | 24.8515
      60 | 0.7888           | 13.5039          | 9.9962           | 12.4218          | 23.8979
      70 | 0.6921           | 14.5078          | 8.8728           | 11.9697          | 22.9748
      80 | 0.6069           | 15.3383          | 7.7588           | 11.5430          | 21.8999
      90 | 0.5479           | 16.2551          | 6.8419           | 11.2374          | 21.1779
     100 | 0.4998           | 17.3608          | 6.0139           | 10.9648          | 20.4659
     110 | 0.4619           | 18.3312          | 5.2646           | 10.7213          | 19.7550
     120 | 0.4347           | 19.3304          | 4.6292           | 10.5388          | 19.1435
     130 | 0.4124           | 20.2215          | 4.0704           | 10.3497          | 18.6828
     140 | 0.3999           | 21.0671          | 3.6200           | 10.2464          | 18.2345
     150 | 0.3903           | 22.2213          | 3.2463           | 10.1197          | 17.8497
     160 | 0.3855           | 23.3972          | 2.9562           | 10.0022          | 17.4026
     170 | 0.3873           | 24.6309          | 2.7556           | 9.9903           | 17.1480
     180 | 0.3908           | 25.5050          | 2.6237           | 9.9208           | 16.9680
     190 | 0.3955           | 26.3045          | 2.5327           | 9.8735           | 16.7072
     200 | 0.4021           | 27.7829          | 2.4740           | 9.8665           | 16.4890
     210 | 0.4111           | 28.6245          | 2.4412           | 9.8835           | 16.3098
     220 | 0.4201           | 29.1085          | 2.4184           | 9.8657           | 16.1396
     230 | 0.4301           | 30.1207          | 2.4045           | 9.8220           | 15.8903
     240 | 0.4407           | 31.3650          | 2.4016           | 9.8272           | 15.7573
     250 | 0.4507           | 32.3057          | 2.3854           | 9.9133           | 15.7283
     260 | 0.4608           | 33.3812          | 2.4004           | 9.9028           | 15.6488
     270 | 0.4725           | 33.8081          | 2.3819           | 9.9371           | 15.4542
     280 | 0.4833           | 34.7794          | 2.3768           | 10.0085          | 15.4771
     290 | 0.4953           | 35.3656          | 2.3999           | 10.0802          | 15.5063
     300 | 0.5069           | 36.8707          | 2.4065           | 10.1418          | 15.4124
     310 | 0.5171           | 37.5873          | 2.4141           | 10.2281          | 15.4591
     320 | 0.5295           | 37.7860          | 2.4510           | 10.4076          | 15.4894
     330 | 0.5420           | 39.1248          | 2.4529           | 10.4818          | 15.5919
     340 | 0.5548           | 39.7899          | 2.5086           | 10.6463          | 15.6269
     350 | 0.5672           | 40.3619          | 2.5661           | 10.8094          | 15.8854
     360 | 0.5795           | 41.5482          | 2.6140           | 10.9593          | 15.9854
     370 | 0.5956           | 41.8125          | 2.7325           | 11.2816          | 16.4314
     380 | 0.6101           | 42.9517          | 2.8251           | 11.5968          | 16.8083
     390 | 0.6308           | 43.3234          | 2.9920           | 11.9729          | 17.5028
     400 | 0.6502           | 45.1239          | 3.1101           | 12.2090          | 17.6609
     410 | 0.6786           | 44.5606          | 3.2970           | 12.7517          | 18.5718
     420 | 0.6988           | 46.0580          | 3.4974           | 13.3560          | 19.5893
     430 | 0.7316           | 46.9507          | 3.6600           | 13.8853          | 20.3937
     440 | 0.7723           | 47.6100          | 4.0056           | 14.7332          | 21.6861
     450 | 0.8321           | 47.7712          | 4.3696           | 15.6456          | 23.2064
     460 | 0.8784           | 48.1313          | 4.6932           | 16.5162          | 24.7142
     470 | 0.9448           | 49.4065          | 5.1262           | 17.7652          | 26.8416
     480 | 1.0308           | 49.2377          | 5.6274           | 18.8839          | 28.7322
     490 | 1.1138           | 50.2051          | 6.2012           | 20.3867          | 31.0164
     500 | 1.2371           | 50.6469          | 6.8842           | 21.9598          | 33.3263
